L,M,S,VecProp,R_old,G_old,B_old,R_new,G_new,B_new
1,0,0,0.152336661524412,1,-0.137721047461947,-0.0107034235661754,1,0.431139476269027,0.494648288216912
0,1,0,0.171488700235554,-1,0.364243840158431,-0.0185856232701692,0,0.682121920079215,0.490707188364915
0,0,1,0.848435656806294,0.226430506778354,-0.186616467316038,1,0.613215253389177,0.406691766341981,1
