L,M,S,VecProp,R_old,G_old,B_old,R_new,G_new,B_new
1,0,0,0.153424619970876,1,-0.141720069575498,-0.0125155091710814,1,0.429139965212251,0.493742245414459
0,1,0,0.173436878971201,-1,0.369076517240878,-0.0170836585283201,0,0.684538258620439,0.49145817073584
0,0,1,0.847403732946365,0.210094835357867,-0.173128797571297,1,0.605047417678934,0.413435601214352,1
