L,M,S,VecProp,R_old,G_old,B_old,R_new,G_new,B_new
1,0,0,0.167512805884258,1,-0.12320971278882,-0.0052670742641463,1,0.43839514360559,0.497366462867927
0,1,0,0.192738449767661,-1,0.377783520280644,-0.0341659839788073,0,0.688891760140322,0.482917008010596
0,0,1,0.827329084081996,0.180924872352119,-0.18578476747644,1,0.59046243617606,0.40710761626178,1
