380.000000	0.000000	0.000000
385.000000	-0.000009	0.000000
390.000000	0.000133	0.000000
395.000000	0.000327	0.000000
400.000000	0.000494	0.000000
405.000000	0.000409	0.000000
410.000000	0.000531	0.000000
415.000000	0.000723	0.000000
420.000000	0.001252	0.000000
425.000000	0.002673	0.000000
430.000000	0.006805	0.000000
435.000000	0.015118	0.000000
440.000000	0.032360	0.000000
445.000000	0.061806	0.000000
450.000000	0.072750	0.000000
455.000000	0.050465	0.000000
460.000000	0.032140	0.000000
465.000000	0.022128	0.000000
470.000000	0.013745	0.000000
475.000000	0.009636	0.000000
480.000000	0.007485	0.000000
485.000000	0.005872	0.000000
490.000000	0.004922	0.000000
495.000000	0.005159	0.000000
500.000000	0.006635	0.000000
505.000000	0.009562	0.000000
510.000000	0.014715	0.000000
515.000000	0.022595	0.000000
520.000000	0.029540	0.000000
525.000000	0.034935	0.000000
530.000000	0.039885	0.000000
535.000000	0.043019	0.000000
540.000000	0.044370	0.000000
545.000000	0.042629	0.000000
550.000000	0.037850	0.000000
555.000000	0.031895	0.000000
560.000000	0.027355	0.000000
565.000000	0.022645	0.000000
570.000000	0.018895	0.000000
575.000000	0.015318	0.000000
580.000000	0.012840	0.000000
585.000000	0.011603	0.000000
590.000000	0.010720	0.000000
595.000000	0.010521	0.000000
600.000000	0.011050	0.000000
605.000000	0.012228	0.000000
610.000000	0.026800	0.000000
615.000000	0.038279	0.000000
620.000000	0.016190	0.000000
625.000000	0.017960	0.000000
630.000000	0.083850	0.000000
635.000000	0.072446	0.000000
640.000000	0.013285	0.000000
645.000000	0.010456	0.000000
650.000000	0.012060	0.000000
655.000000	0.005098	0.000000
660.000000	0.003086	0.000000
665.000000	0.001883	0.000000
670.000000	0.002052	0.000000
675.000000	0.001534	0.000000
680.000000	0.001439	0.000000
685.000000	0.001212	0.000000
690.000000	0.001297	0.000000
695.000000	0.001268	0.000000
700.000000	0.000732	0.000000
705.000000	0.000563	0.000000
710.000000	0.000726	0.000000
715.000000	0.000427	0.000000
720.000000	0.000014	0.000000
725.000000	0.000424	0.000000
730.000000	0.000976	0.000000
735.000000	0.000202	0.000000
740.000000	0.000893	0.000000
745.000000	0.001122	0.000000
750.000000	0.001716	0.000000
755.000000	0.001608	0.000000
760.000000	0.001190	0.000000
765.000000	0.003191	0.000000
770.000000	0.001981	0.000000
775.000000	0.001375	0.000000
780.000000	0.003380	0.000000
