L,M,S,VecProp,R_old,G_old,B_old,R_new,G_new,B_new
1,0,0,0.144873110176735,1,-0.13666649831197,-0.0163653446583555,1,0.431666750844015,0.491817327670822
0,1,0,0.161474009855481,-1,0.349161779517929,-0.0105632047418621,0,0.674580889758964,0.494718397629069
0,0,1,0.848622203984039,0.246401611337401,-0.185837504378226,1,0.623200805668701,0.407081247810887,1
