380.000000	0.000764	0.000000	0.000000	0.000000	0.000000	0.000000
385.000000	0.000137	0.000000	0.000175	0.000000	0.000164	0.000000
390.000000	0.000155	0.000000	0.000078	0.000000	0.000022	0.000000
395.000000	0.000172	0.000000	0.000080	0.000000	0.000057	0.000000
400.000000	0.000052	0.000000	0.000018	0.000000	0.000194	0.000000
405.000000	0.000065	0.000000	-0.000007	0.000000	0.000187	0.000000
410.000000	0.000028	0.000000	0.000000	0.000000	0.000000	0.000000
415.000000	0.000035	0.000000	-0.000000	0.000000	0.000610	0.000000
420.000000	0.000013	0.000000	0.000000	0.000000	0.000889	0.000000
425.000000	0.000129	0.000000	0.000033	0.000000	0.002237	0.000000
430.000000	0.000297	0.000000	0.000269	0.000000	0.006250	0.000000
435.000000	0.000668	0.000000	0.000980	0.000000	0.013666	0.000000
440.000000	0.001124	0.000000	0.002167	0.000000	0.029395	0.000000
445.000000	0.001896	0.000000	0.004416	0.000000	0.057290	0.000000
450.000000	0.001812	0.000000	0.005130	0.000000	0.066850	0.000000
455.000000	0.000850	0.000000	0.003568	0.000000	0.047703	0.000000
460.000000	0.000791	0.000000	0.002460	0.000000	0.030350	0.000000
465.000000	0.000332	0.000000	0.001885	0.000000	0.020932	0.000000
470.000000	0.000071	0.000000	0.001610	0.000000	0.012220	0.000000
475.000000	0.000057	0.000000	0.001980	0.000000	0.007906	0.000000
480.000000	0.000000	0.000000	0.002305	0.000000	0.005065	0.000000
485.000000	-0.000000	0.000000	0.002552	0.000000	0.003177	0.000000
490.000000	0.000001	0.000000	0.002299	0.000000	0.001848	0.000000
495.000000	0.000110	0.000000	0.002810	0.000000	0.001686	0.000000
500.000000	0.000381	0.000000	0.004311	0.000000	0.001829	0.000000
505.000000	0.000507	0.000000	0.006826	0.000000	0.002231	0.000000
510.000000	0.000666	0.000000	0.011430	0.000000	0.002775	0.000000
515.000000	0.000890	0.000000	0.018530	0.000000	0.003559	0.000000
520.000000	0.001064	0.000000	0.025430	0.000000	0.003858	0.000000
525.000000	0.001176	0.000000	0.031062	0.000000	0.003496	0.000000
530.000000	0.001294	0.000000	0.036040	0.000000	0.003213	0.000000
535.000000	0.001439	0.000000	0.038767	0.000000	0.002944	0.000000
540.000000	0.001147	0.000000	0.040320	0.000000	0.002868	0.000000
545.000000	0.000986	0.000000	0.039396	0.000000	0.002255	0.000000
550.000000	0.000748	0.000000	0.035365	0.000000	0.001753	0.000000
555.000000	0.000589	0.000000	0.029890	0.000000	0.001193	0.000000
560.000000	0.000506	0.000000	0.025690	0.000000	0.000884	0.000000
565.000000	0.000456	0.000000	0.020781	0.000000	0.000508	0.000000
570.000000	0.000624	0.000000	0.016940	0.000000	0.000518	0.000000
