L,M,S,VecProp,R_old,G_old,B_old,R_new,G_new,B_new
1,0,0,0.226701688390566,1,-0.109765390214812,0.00597670623235191,1,0.445117304892594,0.502988353116176
0,1,0,0.283156953497652,-1,0.475675349606184,-0.0295785868456884,0,0.737837674803092,0.485210706577156
0,0,1,0.927560930414352,0.111796221944837,-0.181538215584105,1,0.555898110972419,0.409230892207948,1
